Date,Open,High,Low,Close,Adj Close,Volume
2023-10-11,24.260000,24.575001,24.254999,24.485001,23.556835,16514000
2023-10-13,24.545000,24.665001,24.325001,24.410000,23.484678,21928200
2023-10-16,24.680000,24.995001,24.590000,24.905001,23.960913,15472400
2023-10-17,24.799999,25.139999,24.600000,24.680000,23.744444,16189200
2023-10-18,24.530001,24.850000,24.450001,24.559999,23.628992,22840800
2023-10-19,24.559999,25.059999,24.480000,24.750000,23.811789,16271800
2023-10-20,24.684999,25.105000,24.575001,24.670000,23.734823,19846600
2023-10-23,24.639999,24.895000,24.415001,24.635000,23.701149,15813600
2023-10-24,24.750000,24.920000,24.355000,24.520000,23.590509,17053000
2023-10-25,24.540001,24.820000,24.445000,24.525000,23.595318,12625200
2023-10-26,24.570000,25.100000,24.480000,25.035000,24.085983,19577600
2023-10-27,24.950001,25.030001,24.264999,24.400000,23.475056,20337800
2023-10-30,24.500000,24.610001,24.110001,24.230000,23.311501,18010200
2023-10-31,24.240000,24.424999,23.889999,24.174999,23.258585,14087400
2023-11-01,24.180000,24.370001,24.040001,24.200001,23.282637,21810000
2023-11-03,24.475000,25.230000,24.424999,25.049999,24.100414,24765400
2023-11-06,25.145000,25.325001,25.000000,25.225000,24.268784,12216800
2023-11-07,25.225000,25.594999,25.065001,25.510000,24.542978,29055000
2023-11-08,25.540001,25.870001,25.510000,25.834999,24.855658,18976000
2023-11-09,25.500000,25.680000,24.610001,24.754999,23.816599,62427200
2023-11-10,24.885000,25.195000,24.730000,25.120001,24.167763,17832400
2023-11-13,25.049999,25.145000,24.915001,25.025000,24.076365,9641600
2023-11-14,25.090000,25.469999,24.985001,25.145000,24.191816,37860000
2023-11-16,25.150000,25.240000,24.930000,25.139999,24.187004,34225200
2023-11-17,25.139999,25.480000,25.110001,25.330000,24.369802,24494200
2023-11-20,25.469999,25.650000,25.145000,25.465000,24.499685,15070600
2023-11-21,25.465000,25.709999,25.385000,25.645000,24.672861,20642000
2023-11-22,25.299999,25.680000,25.299999,25.424999,24.558870,16195600
